Titulo,Review,Calificacion,FechaEstadia,Ciudad,Atraccion,TituloReview,SentimientoPorCalificacion,SentimientoPorHF,SentimientoPorCardiff,SubjetividadConHF,TotalFrases,FrasesSubjetivas,FrasesObjetivas,TipoOpinion,EsMixta,PorcentajeSubjetivo,PorcentajeObjetivo,SubjetividadConFrases,SubjetividadConLLM
"Unique Place, Exceeded My Expectations","This place truly exceeded my expectations. It's unique, thoughtfully designed, and offers a great atmosphere :)I would definitely return and recommend it to others.",5,2025-06-01,Cdmx,Palacio De Bellas Artes,"Unique Place, Exceeded My Expectations. This place truly exceeded my expectations. It's unique, thoughtfully designed, and offers a great atmosphere :)I would definitely return and recommend it to others.",Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Views and more,"Best exterior view of the Art Nouveau building is from the Sears building 8th floor café.Access is free to seniors60 and over with ID. Also, Sundays free admission. Interior of building us a fusion of Art Deco and Mexican art. Artists include Rivera, Siqueiros and Camarena.",5,2025-06-01,Cdmx,Palacio De Bellas Artes,"Views and more. Best exterior view of the Art Nouveau building is from the Sears building 8th floor café.Access is free to seniors60 and over with ID. Also, Sundays free admission. Interior of building us a fusion of Art Deco and Mexican art. Artists include Rivera, Siqueiros and Camarena.",Positivo,Positivo,Neutro,Objetivo,6,0,6,Objetivo,False,0.0,100.0,Objetivo,Mixta
Lo mejor en compañía de mi hija menor,"Sin duda alguna la sala de exposiciones y museo es una gran oportunidad de observar y apreciar los mejores murales como Siqueiros, Diego Rivera, Camarena, Orozco y para terminar escuchar la orquesta sinfónica nacional.",5,2025-06-01,Cdmx,Palacio De Bellas Artes,"Lo mejor en compañía de mi hija menor. Sin duda alguna la sala de exposiciones y museo es una gran oportunidad de observar y apreciar los mejores murales como Siqueiros, Diego Rivera, Camarena, Orozco y para terminar escuchar la orquesta sinfónica nacional.",Positivo,Positivo,Positivo,Subjetivo,2,2,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Prepare to have your heart stolen by Baile Folklórico at Palacio de Bellas Artes,"Baile Folklórico at the Palacio de Bellas Artes is hands down one of the most beautiful and moving performances I’ve ever witnessed. From the very first drumbeat, I was completely captivated. The show is a vibrant celebration of Mexico’s diverse regions, with each dance telling a unique story through traditional footwork, colorful costumes, and dramatic choreography. You can truly feel the soul of Mexico come alive on stage.The venue itself, the Palacio de Bellas Artes, is breathtaking—its grand architecture makes the entire evening feel like a special occasion. I highly recommend dressing up a bit and making a night of it. If you're looking to experience authentic Mexican culture and artistry, this performance is unforgettable.",5,2024-06-01,Cdmx,Palacio De Bellas Artes,"Prepare to have your heart stolen by Baile Folklórico at Palacio de Bellas Artes. Baile Folklórico at the Palacio de Bellas Artes is hands down one of the most beautiful and moving performances I’ve ever witnessed. From the very first drumbeat, I was completely captivated. The show is a vibrant celebration of Mexico’s diverse regions, with each dance telling a unique story through traditional footwork, colorful costumes, and dramatic choreography. You can truly feel the soul of Mexico come alive on stage.The venue itself, the Palacio de Bellas Artes, is breathtaking—its grand architecture makes the entire evening feel like a special occasion. I highly recommend dressing up a bit and making a night of it. If you're looking to experience authentic Mexican culture and artistry, this performance is unforgettable.",Positivo,Positivo,Positivo,Subjetivo,8,8,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Palacio de Bellas artes-Ballet Amalia Hernández,"Ballet de Amalia Hernández en domingo, concurrido. Llega con tiempo ya que es puntual la función. El metro bellas artes o metrobus son la opción en transporte.",5,2024-05-01,Cdmx,Palacio De Bellas Artes,"Palacio de Bellas artes-Ballet Amalia Hernández. Ballet de Amalia Hernández en domingo, concurrido. Llega con tiempo ya que es puntual la función. El metro bellas artes o metrobus son la opción en transporte.",Positivo,Positivo,Neutro,Objetivo,4,0,4,Objetivo,False,0.0,100.0,Objetivo,Mixta
Amazing ,"Amazing building,  great architecture,  we enjoy a classic music event inside so we look all the building inside and outside, so beautiful ",5,2025-03-01,Cdmx,Palacio De Bellas Artes,"Amazing. Amazing building,  great architecture,  we enjoy a classic music event inside so we look all the building inside and outside, so beautiful.",Positivo,Positivo,Positivo,Subjetivo,2,2,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
My favorite place Bellas Artes,"It is one of the most beautiful murals , the walls full of so many pictures of artistic paint by Diego Rivera and David Alfaro S.I highly recommend everyone to come and visit ",5,2025-02-01,Cdmx,Palacio De Bellas Artes,"My favorite place Bellas Artes. It is one of the most beautiful murals , the walls full of so many pictures of artistic paint by Diego Rivera and David Alfaro S.I highly recommend everyone to come and visit.",Positivo,Positivo,Positivo,Subjetivo,3,3,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
do not miss this gem,"spectacular building with murals, and art deco interior. we went when it was barricaded to prevent vandalism from demonstrators so it was hard to access but still open. this is a don’t miss place.",5,2025-03-01,Cdmx,Palacio De Bellas Artes,"do not miss this gem. spectacular building with murals, and art deco interior. we went when it was barricaded to prevent vandalism from demonstrators so it was hard to access but still open. this is a don’t miss place.",Positivo,Positivo,Positivo,Subjetivo,4,2,2,Mixta,True,50.0,50.0,Mixta,Mixta
Beautiful inside and out,"The building is outstanding from the outside … located next to a park and with its own manicured gardens out front, it will make for lovely photos to remember your visit. The inside is art deco in design and is equally stunning. It appears to have spaces for exhibits, but there was a fee … there is a small FREE display just as you enter on the right … that was worth a look … It is not far from the main square and cathedral.",5,2025-02-01,Cdmx,Palacio De Bellas Artes,"Beautiful inside and out. The building is outstanding from the outside … located next to a park and with its own manicured gardens out front, it will make for lovely photos to remember your visit. The inside is art deco in design and is equally stunning. It appears to have spaces for exhibits, but there was a fee … there is a small FREE display just as you enter on the right … that was worth a look … It is not far from the main square and cathedral.",Positivo,Positivo,Positivo,Subjetivo,6,5,1,Mixta,True,83.33333333333334,16.666666666666664,Mixta,Mixta
Must see,What a fabulous venue. There is so much to like about the venue. From the Tiffany ‘curtain’ to the dome and the good rake in the seating.,5,2025-02-01,Cdmx,Palacio De Bellas Artes,Must see. What a fabulous venue. There is so much to like about the venue. From the Tiffany ‘curtain’ to the dome and the good rake in the seating.,Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Amazing architecture.,"Gorgeous architecture with a beautiful nearby park! Also, plenty of street vendors in the area. A must see in central Mexico City.",5,2025-02-01,Cdmx,Palacio De Bellas Artes,"Amazing architecture. Gorgeous architecture with a beautiful nearby park! Also, plenty of street vendors in the area. A must see in central Mexico City.",Positivo,Positivo,Positivo,Subjetivo,4,2,2,Mixta,True,50.0,50.0,Mixta,Mixta
Mind blowing!,"It’s a MUST stop for any art lover, when visiting Mexico City.Excellent collection of Riveira and Sikeiros. And all of that in a beautiful space.",5,2025-02-01,Cdmx,Palacio De Bellas Artes,"Mind blowing!. It’s a MUST stop for any art lover, when visiting Mexico City.Excellent collection of Riveira and Sikeiros. And all of that in a beautiful space.",Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Sensacional,"El hecho de que haya guías y te expliquen los murales, lo hace sorpréndete te ya que nos ayuda a entender o interpretarlas de una manera más fácil.",5,2025-02-01,Cdmx,Palacio De Bellas Artes,"Sensacional. El hecho de que haya guías y te expliquen los murales, lo hace sorpréndete te ya que nos ayuda a entender o interpretarlas de una manera más fácil.",Positivo,Positivo,Positivo,Subjetivo,2,2,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Hermoso,"Se ve hermoso de noche, y ese parque es una fiesta en cada esquina, sonideros y al gente bailando, recomiendo no saltarse esa actividad",5,2025-02-01,Cdmx,Palacio De Bellas Artes,"Hermoso. Se ve hermoso de noche, y ese parque es una fiesta en cada esquina, sonideros y al gente bailando, recomiendo no saltarse esa actividad.",Positivo,Positivo,Positivo,Subjetivo,2,2,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Sitio histórico,"Es un lugar lleno de historia, tanto en las afueras como en su interior. Los domingos la entrada es gratuita y hacen recorridos guiados muy interesantes donde hablan de la historia de los murales. También se presenta el ballet folklórico, un evento para conocer más de la música, danza y cultura mexicana.",4,2025-01-01,Cdmx,Palacio De Bellas Artes,"Sitio histórico. Es un lugar lleno de historia, tanto en las afueras como en su interior. Los domingos la entrada es gratuita y hacen recorridos guiados muy interesantes donde hablan de la historia de los murales. También se presenta el ballet folklórico, un evento para conocer más de la música, danza y cultura mexicana.",Positivo,Positivo,Positivo,Objetivo,4,1,3,Mixta,True,25.0,75.0,Mixta,Mixta
Incredibly beautiful facade,"Designed by Adamo Boari in 1904 and completed after a hiatus in 1932 by Mexican architect Federico Mariscal this is one of the most beautiful buildings in Mexico. Small but elegant gardens lead the eye, the foot, and the person inevitably to a hugely impressive facade. A building to be proud of.",4,2025-01-01,Cdmx,Palacio De Bellas Artes,"Incredibly beautiful facade. Designed by Adamo Boari in 1904 and completed after a hiatus in 1932 by Mexican architect Federico Mariscal this is one of the most beautiful buildings in Mexico. Small but elegant gardens lead the eye, the foot, and the person inevitably to a hugely impressive facade. A building to be proud of.",Positivo,Positivo,Positivo,Subjetivo,5,4,1,Mixta,True,80.0,20.0,Mixta,Mixta
Muy bonito,"“Es una visita obligatoria si estás en la Ciudad de México, ya que destaca por su belleza en cada rincón. Cada detalle, desde su arquitectura hasta sus alrededores, ofrece una experiencia visual impresionante que no te puedes perder.”",4,2025-01-01,Cdmx,Palacio De Bellas Artes,"Muy bonito. “Es una visita obligatoria si estás en la Ciudad de México, ya que destaca por su belleza en cada rincón. Cada detalle, desde su arquitectura hasta sus alrededores, ofrece una experiencia visual impresionante que no te puedes perder.”.",Positivo,Positivo,Positivo,Objetivo,3,2,1,Mixta,True,66.66666666666666,33.33333333333333,Mixta,Subjetiva
Muy asequible. Lo recomiendo.,"Aunque no he viajado por Europa, África y Asia, sí he estado en algunos museos en mi juventud y tengo que decir que este es uno de los mejores. Para ser sincera, no pensé que fuera a ser tan maravilloso, tan accesible y tan acogedor.",5,2025-01-01,Cdmx,Palacio De Bellas Artes,"Muy asequible. Lo recomiendo. Aunque no he viajado por Europa, África y Asia, sí he estado en algunos museos en mi juventud y tengo que decir que este es uno de los mejores. Para ser sincera, no pensé que fuera a ser tan maravilloso, tan accesible y tan acogedor.",Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Enjoy the audio tour of the murals,"Great way to see the muralists, beautiful architecture and stunning art. Angela Gurria show was tremendous. Big tip- ask an English speaking guide for the QR code for an English guided audio recording that describes the murals. Free and totally enhances the viewing and appreciation of the murals. Another trip is to take a break mid visit and have a beer or coffee or snack in the lovely cafe.",5,2025-01-01,Cdmx,Palacio De Bellas Artes,"Enjoy the audio tour of the murals. Great way to see the muralists, beautiful architecture and stunning art. Angela Gurria show was tremendous. Big tip- ask an English speaking guide for the QR code for an English guided audio recording that describes the murals. Free and totally enhances the viewing and appreciation of the murals. Another trip is to take a break mid visit and have a beer or coffee or snack in the lovely cafe.",Positivo,Positivo,Positivo,Subjetivo,6,4,2,Mixta,True,66.66666666666666,33.33333333333333,Mixta,Mixta
A waste of my time!,"I'm glad ( as a senior citizen.) l didn't have to pay to get into this absolutely boring ""so-called"" art museum!It had no significant works of art & other than the actual building being beautiful, that's about it!Do yourselves a favour & get an Uber to the FREE Museo Soumaya which has many works of art by well known artists like Renoir, Van Gogh, Pissarro & sculptures by Rodan.",1,2024-12-01,Cdmx,Palacio De Bellas Artes,"A waste of my time!. I'm glad ( as a senior citizen.) l didn't have to pay to get into this absolutely boring ""so-called"" art museum!It had no significant works of art & other than the actual building being beautiful, that's about it!Do yourselves a favour & get an Uber to the FREE Museo Soumaya which has many works of art by well known artists like Renoir, Van Gogh, Pissarro & sculptures by Rodan.",Negativo,Negativo,Negativo,Subjetivo,5,5,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Beautiful building and murals,"I visited on a free Sunday otherwise I would not have been able to fit this into my trip. It was busy as expected so my advice is, avoid the free day if you can afford it. The art deco interior detail is wonderful, as usual the exterior and its features.The murals are huge and I loved taking them in at different levels.Saw some interesting art in the small exhibit rooms. Loved the 3D sectional model and technical drawings on top floor.Sadly unable to see the theatre room and my attempt to buy tickets to the ballet didn’t align date wise.Cafe and bookshop/souvenirs onsite.1.5hours happily spent here.Popped into Sears to get a view from across the street and to grab a bite at the 6th floor cafe but the queue was too long so I abandoned that idea.",5,2024-12-01,Cdmx,Palacio De Bellas Artes,"Beautiful building and murals. I visited on a free Sunday otherwise I would not have been able to fit this into my trip. It was busy as expected so my advice is, avoid the free day if you can afford it. The art deco interior detail is wonderful, as usual the exterior and its features.The murals are huge and I loved taking them in at different levels.Saw some interesting art in the small exhibit rooms. Loved the 3D sectional model and technical drawings on top floor.Sadly unable to see the theatre room and my attempt to buy tickets to the ballet didn’t align date wise.Cafe and bookshop/souvenirs onsite.1.5hours happily spent here.Popped into Sears to get a view from across the street and to grab a bite at the 6th floor cafe but the queue was too long so I abandoned that idea.",Positivo,Positivo,Positivo,Subjetivo,11,8,3,Mixta,True,72.72727272727273,27.27272727272727,Mixta,Mixta
Murals,"A lot of Murals and art work by various Mexican artists including Diego Rivera displayed over 3 floors. Also temporary exhibitions of other artists of other forms of art (glass, etc). The famous mural by Diego Rivera ""Man at Crossroads"" is quite cool to view. The building itself is very     magnificent to see in itself. Museum is free to visit on Sundays, otherwise it is $95 Mexican Peso's.",5,2024-12-01,Cdmx,Palacio De Bellas Artes,"Murals. A lot of Murals and art work by various Mexican artists including Diego Rivera displayed over 3 floors. Also temporary exhibitions of other artists of other forms of art (glass, etc). The famous mural by Diego Rivera ""Man at Crossroads"" is quite cool to view. The building itself is very     magnificent to see in itself. Museum is free to visit on Sundays, otherwise it is $95 Mexican Peso's.",Positivo,Positivo,Positivo,Objetivo,6,2,4,Mixta,True,33.33333333333333,66.66666666666666,Mixta,Mixta
"I had anticipated seeing a lot of national art, but I was let down.","The structure is a marvel in and of itself. Although admission is free, there isn't much to see other than the second-floor murals;",4,2024-12-01,Cdmx,Palacio De Bellas Artes,"I had anticipated seeing a lot of national art, but I was let down. The structure is a marvel in and of itself. Although admission is free, there isn't much to see other than the second-floor murals;.",Positivo,Positivo,Negativo,Subjetivo,3,2,1,Mixta,True,66.66666666666666,33.33333333333333,Mixta,Mixta
"Ballet folclórico de Amalia Hernandez vale la pena, a pesar del personal grosero","Fuimos a ver el ballet folclórico de Amalia Hernandez. Excelente espectáculo y el teatro muy bello en su arquitectura y diseño. Mucho desorden para el ingreso pues los ""ujieres"" no saben nada y te manda de allá para acá.  Llegamos tipo 5 y 10 con boletos electrónicos para no hacer filas y la entrada era a las 5:30 pm. No hay baños disponibles a menos que tengas un boleto y no te dejan pasar hasta pasadas las 5:30. Igual tuvimos que hacer fila para ingresar a la sala, de pie junto con personas mayores y sin sitio para sentarse. A pesar de haber revisado nuestros boletos nos mandaron al área equivocada. El personal de muy mal talante y malhumorado. Eso disminuye el disfrute de un espectáculo de primera. Vayan preparados y con paciencia si tienen que ir al baño. El tránsito para llegar simplemente imposible. Mejor llegar en metro.",4,2024-12-01,Cdmx,Palacio De Bellas Artes,"Ballet folclórico de Amalia Hernandez vale la pena, a pesar del personal grosero. Fuimos a ver el ballet folclórico de Amalia Hernandez. Excelente espectáculo y el teatro muy bello en su arquitectura y diseño. Mucho desorden para el ingreso pues los ""ujieres"" no saben nada y te manda de allá para acá.  Llegamos tipo 5 y 10 con boletos electrónicos para no hacer filas y la entrada era a las 5:30 pm. No hay baños disponibles a menos que tengas un boleto y no te dejan pasar hasta pasadas las 5:30. Igual tuvimos que hacer fila para ingresar a la sala, de pie junto con personas mayores y sin sitio para sentarse. A pesar de haber revisado nuestros boletos nos mandaron al área equivocada. El personal de muy mal talante y malhumorado. Eso disminuye el disfrute de un espectáculo de primera. Vayan preparados y con paciencia si tienen que ir al baño. El tránsito para llegar simplemente imposible. Mejor llegar en metro.",Positivo,Negativo,Negativo,Subjetivo,13,8,5,Mixta,True,61.53846153846154,38.46153846153847,Mixta,Mixta
Visita obligada si vas a CDMX,"Un imperdible en la Ciudad de México. Desde la arquitectura, los detalles de la iluminación, los techos, columnas, todo el edificio en si mismo hasta los murales expuestos. Una maravilla!",5,2024-10-01,Cdmx,Palacio De Bellas Artes,"Visita obligada si vas a CDMX. Un imperdible en la Ciudad de México. Desde la arquitectura, los detalles de la iluminación, los techos, columnas, todo el edificio en si mismo hasta los murales expuestos. Una maravilla!.",Positivo,Positivo,Positivo,Subjetivo,4,3,1,Mixta,True,75.0,25.0,Mixta,Subjetiva
"Palacio de Bellas Artes, Ciudad de México en octubre","Vea la cortina de mosaico de Tiffany haciendo el recorrido libre dentro del teatro. No sabíamos nada al respecto, solo entramos a echar un vistazo y vimos larga cola y preguntamos para qué servía. Afortunadamente esa era la cola de habla hispana y la servicial señora aconsejó que la inglesa empezaba pronto y era solo un puñado de personas. Creo que está dirigido por estudiantes, su inglés era bueno e hicieron un buen trabajo explicando la historia. Al final dieron una demostración de la enorme cortina que se levanta. Hay una cafetería y una tienda de regalos aquí.",5,2024-10-01,Cdmx,Palacio De Bellas Artes,"Palacio de Bellas Artes, Ciudad de México en octubre. Vea la cortina de mosaico de Tiffany haciendo el recorrido libre dentro del teatro. No sabíamos nada al respecto, solo entramos a echar un vistazo y vimos larga cola y preguntamos para qué servía. Afortunadamente esa era la cola de habla hispana y la servicial señora aconsejó que la inglesa empezaba pronto y era solo un puñado de personas. Creo que está dirigido por estudiantes, su inglés era bueno e hicieron un buen trabajo explicando la historia. Al final dieron una demostración de la enorme cortina que se levanta. Hay una cafetería y una tienda de regalos aquí.",Positivo,Negativo,Neutro,Subjetivo,7,3,4,Mixta,True,42.85714285714285,57.14285714285714,Mixta,Mixta
De visita por CDMX,"Una arquitectura llamativa en especial de noche donde se aprecia cada línea, céntrica y un buen ambiente animador, excelente",5,2024-10-01,Cdmx,Palacio De Bellas Artes,"De visita por CDMX. Una arquitectura llamativa en especial de noche donde se aprecia cada línea, céntrica y un buen ambiente animador, excelente.",Positivo,Positivo,Positivo,Subjetivo,2,1,1,Mixta,True,50.0,50.0,Mixta,Mixta
Hermoso art déco,"Claramente uno de los hitos de la Ciudad de México, destacada arquitectura del Art Déco con clara influencia del arte indígena.",5,2024-10-01,Cdmx,Palacio De Bellas Artes,"Hermoso art déco. Claramente uno de los hitos de la Ciudad de México, destacada arquitectura del Art Déco con clara influencia del arte indígena.",Positivo,Positivo,Positivo,Subjetivo,2,2,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Bellas Artes son exageradas en el buen sentido,Vine por los murales de Diego Rivera y descubrí mucho más. La artesanía del edificio en sí es impresionante. Tuve la suerte de encontrarme con un Guía en inglés que me ayudó a apreciar el trabajo de Diego y otros. También hubo una exposición de escultura y Opinión del edificio sobre el 90 cumpleaños. Tuve una excelente sopa en el café. Gratis para mayores de 60 años.,5,2024-10-01,Cdmx,Palacio De Bellas Artes,Bellas Artes son exageradas en el buen sentido. Vine por los murales de Diego Rivera y descubrí mucho más. La artesanía del edificio en sí es impresionante. Tuve la suerte de encontrarme con un Guía en inglés que me ayudó a apreciar el trabajo de Diego y otros. También hubo una exposición de escultura y Opinión del edificio sobre el 90 cumpleaños. Tuve una excelente sopa en el café. Gratis para mayores de 60 años.,Positivo,Neutro,Positivo,Subjetivo,7,3,4,Mixta,True,42.85714285714285,57.14285714285714,Mixta,Mixta
Me encantó,Recomiendo encarecidamente el palacio de bellas artes. es un hermoso museo con mucha obra de arte de los artistas famosos en mexico. debes ver,4,2024-09-01,Cdmx,Palacio De Bellas Artes,Me encantó. Recomiendo encarecidamente el palacio de bellas artes. es un hermoso museo con mucha obra de arte de los artistas famosos en mexico. debes ver.,Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Guaau precioso lugar,"Un imperdible si vas a la ciudad de mexico. El edificio es precioso y mas lindo en persona que en fotografías, lastima que es un lugar muy con urrido y es dificil fotografiarlo.",5,2024-08-01,Cdmx,Palacio De Bellas Artes,"Guaau precioso lugar. Un imperdible si vas a la ciudad de mexico. El edificio es precioso y mas lindo en persona que en fotografías, lastima que es un lugar muy con urrido y es dificil fotografiarlo.",Positivo,Positivo,Positivo,Subjetivo,3,3,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Palacio de Bellas Artes ,"El Palacio de Bellas Artes es un recinto arquitectónico de estilo Art Deco realizado por Adamo Boari en la primera mitad del  Siglo XX, en su interior hallarás una serie de Murales de los mejores artistas tales como David Alfaro Sequeiros, Jose Clemente Orozco y Diego Rivera (entre otros)",5,2024-08-01,Cdmx,Palacio De Bellas Artes,"Palacio de Bellas Artes. El Palacio de Bellas Artes es un recinto arquitectónico de estilo Art Deco realizado por Adamo Boari en la primera mitad del  Siglo XX, en su interior hallarás una serie de Murales de los mejores artistas tales como David Alfaro Sequeiros, Jose Clemente Orozco y Diego Rivera (entre otros).",Positivo,Positivo,Neutro,Objetivo,2,0,2,Objetivo,False,0.0,100.0,Objetivo,Objetiva
Cruza la calle dentro de dentro,Ahorre sus pesos y pasar a sears - hay una cafetería en el nivel 8 que tiene una gran vista. El edificio en sí es hermoso y el piso de la fragata de arte es murales - es agradable. Cuanto más alto te golpean por otros 65 pesos cada uno y son solo fotos de instalaciones artísticas en otras partes del mundo. El tercer piso no vale tu tiempo.,2,2024-08-01,Cdmx,Palacio De Bellas Artes,Cruza la calle dentro de dentro. Ahorre sus pesos y pasar a sears - hay una cafetería en el nivel 8 que tiene una gran vista. El edificio en sí es hermoso y el piso de la fragata de arte es murales - es agradable. Cuanto más alto te golpean por otros 65 pesos cada uno y son solo fotos de instalaciones artísticas en otras partes del mundo. El tercer piso no vale tu tiempo.,Negativo,Negativo,Positivo,Subjetivo,5,2,3,Mixta,True,40.0,60.0,Mixta,Mixta
Precioso!,"El palacio es hermoso, solamente debería de haber más vigilancia en la zona, puesto a que se ve mucha delincuencia alrededor.",5,2024-07-01,Cdmx,Palacio De Bellas Artes,"Precioso!. El palacio es hermoso, solamente debería de haber más vigilancia en la zona, puesto a que se ve mucha delincuencia alrededor.",Positivo,Positivo,Positivo,Subjetivo,2,2,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Arte y vistas hermosas,Conocer por fin este recinto de cultura sin duda fue de lo mejor en mi visita por México. Les recomiendo que entren por toda el arte que hay,5,2024-02-01,Cdmx,Palacio De Bellas Artes,Arte y vistas hermosas. Conocer por fin este recinto de cultura sin duda fue de lo mejor en mi visita por México. Les recomiendo que entren por toda el arte que hay.,Positivo,Positivo,Positivo,Subjetivo,3,3,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Un Palacio de Ensueño dentro de la Ciudad de México,"La construcción del Palacio de Bellas Artes se inició en 1904, bajo la dirección del arquitecto italiano Adamo Boari, pero fue interrumpida por la Revolución Mexicana y otros contratiempos. La obra finalmente se completó en 1934, con la ayuda del arquitecto mexicano Federico Mariscal.El edificio es un impresionante ejemplo de estilo ecléctico que combina elementos Art Nouveau y Art Déco. La fachada de mármol blanco está adornada con esculturas y detalles decorativos, mientras que el interior presenta murales de famosos artistas mexicanos como Diego Rivera, David Alfaro Siqueiros y José Clemente Orozco.Estuve en el Palacio para ver un espectáculo de ballet folclórico y quedé impresionado por la perfecta acústica además de la hermosa arquitectura. Definitivamente un lugar para ser visitado.",5,2024-07-01,Cdmx,Palacio De Bellas Artes,"Un Palacio de Ensueño dentro de la Ciudad de México. La construcción del Palacio de Bellas Artes se inició en 1904, bajo la dirección del arquitecto italiano Adamo Boari, pero fue interrumpida por la Revolución Mexicana y otros contratiempos. La obra finalmente se completó en 1934, con la ayuda del arquitecto mexicano Federico Mariscal.El edificio es un impresionante ejemplo de estilo ecléctico que combina elementos Art Nouveau y Art Déco. La fachada de mármol blanco está adornada con esculturas y detalles decorativos, mientras que el interior presenta murales de famosos artistas mexicanos como Diego Rivera, David Alfaro Siqueiros y José Clemente Orozco.Estuve en el Palacio para ver un espectáculo de ballet folclórico y quedé impresionado por la perfecta acústica además de la hermosa arquitectura. Definitivamente un lugar para ser visitado.",Positivo,Positivo,Positivo,Objetivo,7,3,4,Mixta,True,42.85714285714285,57.14285714285714,Mixta,Mixta
Bonito,"Qué lindo es el palacio de Bellas Artes, uno de los lugares más bonitos de toda la Ciudad de México, vengan que no se arrepentirán.",5,2024-06-01,Cdmx,Palacio De Bellas Artes,"Bonito. Qué lindo es el palacio de Bellas Artes, uno de los lugares más bonitos de toda la Ciudad de México, vengan que no se arrepentirán.",Positivo,Positivo,Positivo,Subjetivo,2,2,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Lindo,Lindo y staff muy amable. Hay mucha historia que aprender. Recomiendo hacer al menos una parte con guía asi no te pierdes nada.,5,2024-06-01,Cdmx,Palacio De Bellas Artes,Lindo. Lindo y staff muy amable. Hay mucha historia que aprender. Recomiendo hacer al menos una parte con guía asi no te pierdes nada.,Positivo,Positivo,Positivo,Subjetivo,4,4,0,Subjetivo,False,100.0,0.0,Subjetivo,Mixta
Debes visitarlo,"Me encanta visitar el Palacio de Bellas Artes, lo único que puede ser molesto es que siempre está muy concurrido, pero eso es debido al valor histórico que tiene. Sin embargo, entre semana, si te puedes dar una escapada, sería lo ideal",5,2024-05-01,Cdmx,Palacio De Bellas Artes,"Debes visitarlo. Me encanta visitar el Palacio de Bellas Artes, lo único que puede ser molesto es que siempre está muy concurrido, pero eso es debido al valor histórico que tiene. Sin embargo, entre semana, si te puedes dar una escapada, sería lo ideal.",Positivo,Positivo,Positivo,Subjetivo,3,2,1,Mixta,True,66.66666666666666,33.33333333333333,Mixta,Mixta
Hermosos murales.,"Un palacio muy bonito, y en cual puedes encontrar grandes cosas, lo mejor de todo es que dentro hay unos murales muy hermosos.",5,2023-08-01,Cdmx,Palacio De Bellas Artes,"Hermosos murales. Un palacio muy bonito, y en cual puedes encontrar grandes cosas, lo mejor de todo es que dentro hay unos murales muy hermosos.",Positivo,Positivo,Positivo,Subjetivo,2,2,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
Arte e historia,"Ame este recinto artistico. Desde hace años quería visitarlo y por fin lo pude hacer. Si van, lleven tiempo y dinero porque quieres comprar de todo y vivir por igual.",5,2024-03-01,Cdmx,Palacio De Bellas Artes,"Arte e historia. Ame este recinto artistico. Desde hace años quería visitarlo y por fin lo pude hacer. Si van, lleven tiempo y dinero porque quieres comprar de todo y vivir por igual.",Positivo,Positivo,Positivo,Subjetivo,4,2,2,Mixta,True,50.0,50.0,Mixta,Mixta
Recomiendo,"Bellísimo, es un lugar bonito, las actividades culturales son muy bien organizadas Vale la pena verlo varias veces en un año",5,2024-05-01,Cdmx,Palacio De Bellas Artes,"Recomiendo. Bellísimo, es un lugar bonito, las actividades culturales son muy bien organizadas Vale la pena verlo varias veces en un año.",Positivo,Positivo,Positivo,Subjetivo,3,3,0,Subjetivo,False,100.0,0.0,Subjetivo,Subjetiva
"Personas por todos lados, tráfico sin fin. Igual, lugar obligado en CDMX","Monumento emblema de ciudad de México.Hermoso, su arquitectura, su construcción, su estila, sus materiales.Caminar es lo mejor por esos lugares, aunque se recomienda cuidado",4,2023-07-01,Cdmx,Palacio De Bellas Artes,"Personas por todos lados, tráfico sin fin. Igual, lugar obligado en CDMX. Monumento emblema de ciudad de México.Hermoso, su arquitectura, su construcción, su estila, sus materiales.Caminar es lo mejor por esos lugares, aunque se recomienda cuidado.",Positivo,Positivo,Positivo,Subjetivo,5,4,1,Mixta,True,80.0,20.0,Mixta,Mixta
